Market,Route,Period,Date,Amount,Currency
Carbon,ICE_EUA,DEC-2025,11/17/2023,90.68,USD
Carbon,ICE_EUA,JAN-2026,11/17/2023,90.68,USD
Carbon,ICE_EUA,MAR-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,APR-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,MAY-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,JUN-2026,11/17/2023,91.73,USD
Carbon,ICE_EUA,AUG-2026,11/17/2023,92.89,USD
Carbon,ICE_EUA,SEP-2026,11/17/2023,92.89,USD
Carbon,ICE_EUA,DEC-2026,11/17/2023,94.03,USD
Carbon,ICE_EUA,DEC-2027,11/17/2023,97.75,USD
Carbon,ICE_EUA,DEC-2028,11/17/2023,101.66,USD
Carbon,ICE_EUA,DEC-2029,11/17/2023,105.58,USD
Carbon,ICE_EUA,DEC-2030,11/17/2023,105.58,USD
Carbon,ICE_EUA,SPOT,11/20/2023,83.50,USD
Carbon,ICE_EUA,DEC-2023,11/20/2023,83.72,USD
Carbon,ICE_EUA,JAN-2024,11/20/2023,84.18,USD
Carbon,ICE_EUA,MAR-2024,11/20/2023,84.71,USD
Carbon,ICE_EUA,APR-2024,11/20/2023,84.71,USD
Carbon,ICE_EUA,JUN-2024,11/20/2023,85.69,USD
Carbon,ICE_EUA,AUG-2024,11/20/2023,86.38,USD
Carbon,ICE_EUA,SEP-2024,11/20/2023,86.85,USD
Carbon,ICE_EUA,OCT-2024,11/20/2023,86.85,USD
Carbon,ICE_EUA,DEC-2024,11/20/2023,87.71,USD
Carbon,ICE_EUA,JAN-2025,11/20/2023,87.71,USD
Carbon,ICE_EUA,MAR-2025,11/20/2023,88.80,USD
Carbon,ICE_EUA,APR-2025,11/20/2023,88.80,USD
Carbon,ICE_EUA,JUN-2025,11/20/2023,89.66,USD
Carbon,ICE_EUA,AUG-2025,11/20/2023,90.19,USD
Carbon,ICE_EUA,SEP-2025,11/20/2023,90.38,USD
Carbon,ICE_EUA,OCT-2025,11/20/2023,90.38,USD
Carbon,ICE_EUA,DEC-2025,11/20/2023,91.27,USD
Carbon,ICE_EUA,JAN-2026,11/20/2023,91.27,USD
Carbon,ICE_EUA,MAR-2026,11/20/2023,92.30,USD
Carbon,ICE_EUA,APR-2026,11/20/2023,92.30,USD
Carbon,ICE_EUA,MAY-2026,11/20/2023,92.30,USD
Carbon,ICE_EUA,JUN-2026,11/20/2023,92.30,USD
Carbon,ICE_EUA,AUG-2026,11/20/2023,93.47,USD
Carbon,ICE_EUA,SEP-2026,11/20/2023,93.47,USD
Carbon,ICE_EUA,DEC-2026,11/20/2023,94.58,USD
Carbon,ICE_EUA,DEC-2027,11/20/2023,97.98,USD
Carbon,ICE_EUA,DEC-2028,11/20/2023,101.48,USD
Carbon,ICE_EUA,DEC-2029,11/20/2023,105.08,USD
Carbon,ICE_EUA,DEC-2030,11/20/2023,105.08,USD
Carbon,ICE_EUA,SPOT,11/21/2023,82.36,USD
Carbon,ICE_EUA,DEC-2023,11/21/2023,82.57,USD
Carbon,ICE_EUA,JAN-2024,11/21/2023,83.01,USD
Carbon,ICE_EUA,MAR-2024,11/21/2023,83.54,USD
Carbon,ICE_EUA,APR-2024,11/21/2023,83.54,USD
Carbon,ICE_EUA,JUN-2024,11/21/2023,84.55,USD
Carbon,ICE_EUA,AUG-2024,11/21/2023,85.24,USD
Carbon,ICE_EUA,SEP-2024,11/21/2023,85.71,USD
Carbon,ICE_EUA,OCT-2024,11/21/2023,85.71,USD
Carbon,ICE_EUA,DEC-2024,11/21/2023,86.50,USD
Carbon,ICE_EUA,JAN-2025,11/21/2023,86.50,USD
Carbon,ICE_EUA,MAR-2025,11/21/2023,87.60,USD
Carbon,ICE_EUA,APR-2025,11/21/2023,87.60,USD
Carbon,ICE_EUA,JUN-2025,11/21/2023,88.44,USD
Carbon,ICE_EUA,AUG-2025,11/21/2023,88.94,USD
Carbon,ICE_EUA,SEP-2025,11/21/2023,89.12,USD
Carbon,ICE_EUA,OCT-2025,11/21/2023,89.12,USD
Carbon,ICE_EUA,DEC-2025,11/21/2023,90.00,USD
Carbon,ICE_EUA,JAN-2026,11/21/2023,90.00,USD
Carbon,ICE_EUA,MAR-2026,11/21/2023,91.05,USD
Carbon,ICE_EUA,APR-2026,11/21/2023,91.05,USD
Carbon,ICE_EUA,MAY-2026,11/21/2023,91.05,USD
Carbon,ICE_EUA,JUN-2026,11/21/2023,91.05,USD
Carbon,ICE_EUA,AUG-2026,11/21/2023,92.34,USD
Carbon,ICE_EUA,SEP-2026,11/21/2023,92.34,USD
Carbon,ICE_EUA,DEC-2026,11/21/2023,93.42,USD
Carbon,ICE_EUA,DEC-2027,11/21/2023,97.28,USD
Carbon,ICE_EUA,DEC-2028,11/21/2023,100.90,USD
Carbon,ICE_EUA,DEC-2029,11/21/2023,104.51,USD
Carbon,ICE_EUA,DEC-2030,11/21/2023,104.51,USD
Carbon,ICE_EUA,SPOT,11/22/2023,82.15,USD
Carbon,ICE_EUA,DEC-2023,11/22/2023,82.37,USD
Carbon,ICE_EUA,JAN-2024,11/22/2023,82.81,USD
Carbon,ICE_EUA,MAR-2024,11/22/2023,83.36,USD
Carbon,ICE_EUA,APR-2024,11/22/2023,83.36,USD
Carbon,ICE_EUA,JUN-2024,11/22/2023,84.45,USD
Carbon,ICE_EUA,AUG-2024,11/22/2023,85.06,USD
Carbon,ICE_EUA,SEP-2024,11/22/2023,85.53,USD
